int_z1_b2,int_z1_b3,int_z6_b0,int_z6_b1,norm_z1_b0,norm_z1_b2,norm_z1_b3,norm_z6_b0,norm_z6_b1,max_z1_b2,max_z1_b3,max_z3_b4,max_z6_b0,max_z6_b1,y
6.593553507032275,7.501825338361606,2.3383272798685697,3.8760756196227617,3.3977236009784386,6.493477922552629,7.231435497219003,2.812737195928411,4.14258907584236,5.802638698379875,6.647143975471439,8.36719651822859,1.2691997530579977,2.813504172475923,1
7.201870555061195,7.82484085173649,2.9456552146033568,5.151399669042099,4.983787551572943,7.051674159313371,7.550202571253467,3.691014167399553,5.372505732939712,6.099771949337391,7.014210727209019,7.822927710009676,2.1067314946409947,4.36389973040742,1
6.9674375564012445,7.9681552549517,3.141049652334563,4.893197853704854,5.227153826880799,6.821738191361612,7.68181191304389,3.9269053039202815,5.129792890976099,5.908670394817789,7.298954066284471,6.871330151605315,2.4483199779785028,4.009129403208865,1
6.946630175075431,7.902063248483776,3.32144003151539,5.012856067060018,5.08767657227397,6.833717538704765,7.612544124053336,3.8577669684885327,5.147064476866278,6.011947156045286,7.209358133604265,6.900441365963532,2.496243165489323,4.2179131252187005,1
6.830019477421727,7.6551626061910945,3.224892072529393,5.147557609668711,4.737980494134616,6.798812570518159,7.355636100582787,3.6345684015784343,5.137143895256105,5.867506843904744,6.882610858409291,6.845975643928584,2.4001396090799565,4.335303929082612,1
6.853459243131232,7.49931658673481,3.188072729899968,5.0099947670733895,4.6713744380390825,6.692887248186684,7.1996015257509365,3.3171257932480045,4.9844450854487725,5.826932214402418,6.791908523652435,6.825448173760443,1.946516978599409,4.190928386274515,1
7.0535062630913306,8.019843260548532,3.4497486304093914,5.275275940502912,4.760495273316875,6.87520958653252,7.771542889961808,3.600021307865041,5.166748942106068,6.087756771847652,7.456471620897501,6.735078298730555,2.327291568656436,4.548892130799168,1
6.771849114408171,7.587866513849983,3.4655854162120154,5.019432975401175,4.924069327565031,6.721247800739448,7.267206825518798,3.566192002599433,4.973210550232025,5.772370004129045,6.927093632140314,7.013766388621858,2.5504803550474957,4.245841162442456,1
6.816909893212532,7.714424357349631,3.0604182087353333,4.826473622316009,4.915023133035432,6.6974303420405485,7.405720595450707,3.741057228716363,5.056831493547693,5.898767397812626,6.917080620034744,6.762086208251481,2.2593463314075724,3.9613904391201262,1
6.862484409620291,7.466552716184842,1.9829926451029216,4.216784758854147,3.94525176529961,6.737073684227435,7.183751019329053,2.8000880333970484,4.375259979855058,6.037613344613445,6.683533494605987,7.028676614187634,1.0225078618106511,3.272833626603858,1
6.714907214075797,7.6681923177816,2.576080966071113,4.150051766592405,3.786576158932805,6.499874647549008,7.351909287763308,2.953042652436134,4.355236150003625,5.64608465180438,6.935094205970495,7.014253306607532,1.4584582529683343,3.094884526164373,1
6.575719687152733,7.535926580197223,2.329942038633992,4.053169761881216,3.9328146062509246,6.459388415701616,7.233049179275462,3.097968444838064,4.443899364285611,5.396152114072351,6.7416697082012735,7.212984251891169,1.4893101801840405,3.173155224548757,1
7.088331926217179,7.556850237325305,2.625701661316882,4.445315900191484,3.898139741050489,6.929679658747654,7.306377827227648,2.928625148759536,4.602859856266605,6.291715726217038,6.759018111756873,6.8634491079519,1.3976372808263646,3.212249226833089,1
6.744654862427996,7.473741490220379,2.286375724169795,4.2765647055261855,3.8324321663195104,6.675052574119484,7.20375888162124,2.889024686723541,4.460914289450353,5.81738024156698,6.706681602485944,7.240616354065952,1.2519434947002177,3.2251323805646464,1
6.832196371796833,7.744320137559903,2.142398897800116,3.766624714175968,3.744835458484064,6.713278482134897,7.508287991991419,2.9135012324820586,4.233619763472044,5.728915832647238,7.1966496290237325,7.102864093615713,1.3987580177792562,2.8682868205198675,1
6.8127225292026425,7.714153747638376,2.222201907806668,4.162915844307507,3.763227095217489,6.684659334895365,7.392851493562838,2.808555082785693,4.361208832380298,5.784072297227028,6.896968180900571,7.279073822912284,1.2303333506208445,3.1179668022061358,1
7.00130228781797,7.725562251641866,1.7881299876078098,3.4729473167532805,3.663695802750961,6.835734113772375,7.412302308204444,2.4405683860815928,3.913826188286642,5.911714644514107,6.939889881524832,7.2211812999916924,0.7567231600315623,2.5764532039988373,1
6.580745219679224,7.552261159841501,2.453197274543568,4.1715116851982685,3.789988676797853,6.457728585229368,7.235167897308071,3.0730945015028728,4.446471482725002,5.509297026830885,6.78300220818705,7.193173560522991,1.5953940829909623,3.096465055208081,1
